Area,Item,Months,Year,Value
Malaysia,Food price inflation,February,2019,0.986343
Malaysia,Food price inflation,March,2019,1.067887
Malaysia,Food price inflation,April,2019,1.069519
Malaysia,Food price inflation,May,2019,1.220442
Malaysia,Food price inflation,June,2019,2.311248
Malaysia,Food price inflation,July,2019,2.382782
Malaysia,Food price inflation,August,2019,2.613374
Malaysia,Food price inflation,September,2019,2.225633
Malaysia,Food price inflation,October,2019,1.755725
Malaysia,Food price inflation,November,2019,1.523229
Malaysia,Food price inflation,December,2019,1.670463
Malaysia,Food price inflation,January,2020,0.902935
Malaysia,Food price inflation,February,2020,0.826446
Malaysia,Food price inflation,March,2020,1.207547
Malaysia,Food price inflation,April,2020,1.209373
Malaysia,Food price inflation,May,2020,1.205727
Malaysia,Food price inflation,June,2020,1.581325
Malaysia,Food price inflation,July,2020,1.351351
Malaysia,Food price inflation,August,2020,1.273408
Malaysia,Food price inflation,September,2020,1.426426
Malaysia,Food price inflation,October,2020,1.500375
Malaysia,Food price inflation,November,2020,1.350338
Malaysia,Food price inflation,December,2020,1.418969
Malaysia,Food price inflation,January,2021,1.491424
Malaysia,Food price inflation,February,2021,1.415797
Malaysia,Food price inflation,March,2021,1.491424
Malaysia,Food price inflation,April,2021,1.941748
Malaysia,Food price inflation,May,2021,1.489203
Malaysia,Food price inflation,June,2021,1.334322
Malaysia,Food price inflation,July,2021,1.259259
Malaysia,Food price inflation,August,2021,1.183432
Malaysia,Food price inflation,September,2021,1.850481
Malaysia,Food price inflation,October,2021,1.921656
Malaysia,Food price inflation,November,2021,2.664693
Malaysia,Food price inflation,December,2021,3.166421
